N=C(N)NCCC[C@H](N)C(=O)O
O=C(O)c1cccc(O)c1O
O=C([CoA])/C=C\CCC(=O)O
O=C(N[C@@H](CO)C(=O)O)c1cccc(O)c1O
CCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OCCN
CCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OC[C@@H](O)CO
CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)OC[C@@H](O)CO
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OP(=O)(O)O)CN2
C[C@@]1(CO)OP(=O)(O)OP(=O)(O)OC[C@H]1O
C[C@](O)(CO)[C@H](O)COP(=O)(O)O
O=C(O)C(=O)C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)C(=O)C[C@@H](O)[C@H](O)CO
O=C(O)C(=O)C[C@@H](O)[C@H](O)COP(=O)(O)O
O=C(O)C(=O)C[C@H](O)[C@H](O)CO
O=C(O)C(=O)C[C@H](O)[C@H](O)COP(=O)(O)O
CC(C)(CO)C(=O)C(=O)O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)c2ccccc2c1O
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC1=CC(=O)c2ccccc2C1=O
O=P(O)(O)OC1C[C@H](O)[C@@H](CO)O1
O=C(O)CCC(=O)/C=C\C=C(\O)C(=O)O
CC(C)/C(=C/C(=O)O)C(=O)O
CC(C(=O)O)C(O)(CC(=O)O)C(=O)O
O=C(O)CCC(=O)C(=O)O
C=CCC(=O)C(=O)O
O=C(O)CCC(=O)C1=CC=C[C@@H](O)[C@@H]1C(=O)O
O=C(O)C(=O)C[C@H](O)CO
CCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O
O=C(O)/C=C/C(=O)/C=C/C=C(\O)C(=O)O
CCCCCCCCCCCCCCCCCC(=O)O[C@H](CO)COP(=O)(O)O
O=C([CoA])/C=C1/CC=CC=CO1
C[C@@](CO)(OP(=O)(O)O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
C=C(O[C@H]1C=C[C@H](C(=O)CCC(=O)O)[C@@H](C(=O)O)[C@@H]1O)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](OP(=O)(O)O)[C@H]1O
O=C(O)CCc1cccc(O)c1O
O=C(O)C(=O)Cc1ccc(O)cc1
O=C(COP(=O)(O)O)Cc1cnc[nH]1
CC(C)[C@H](C(=O)O)[C@@H](O)C(=O)O
CC(C)C(O)(CC(=O)O)C(=O)O
CC(C)[C@H](C(=O)O)C(=O)C(=O)O
O=C1C[C@@](O)(C(=O)O)C[C@@H](O)[C@@H]1O
O=C(O)C1=CC(=O)[C@@H](O)[C@H](O)C1
O=C(O)C(=O)C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
O=C(O)C(=O)C[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
CC(C)C(=O)C(=O)O
O=C(O)CCC(=O)CC(=O)[CoA]
CCCCCCCC(=O)CC(=O)[CoA]
CCCCCCCCCC(=O)CC(=O)[CoA]
CCCCCCCCCCCCCC(=O)CC(=O)[CoA]
CCCC(=O)CC(=O)[CoA]
CCCCCCCCCCCCCCCC(=O)CC(=O)[CoA]
CCCCCC(=O)CC(=O)[CoA]
CCCCCCCCCCCC(=O)CC(=O)[CoA]
CC(=O)C(O)C(=O)COP(=O)(O)O
O=C(O)/C=C/c1cccc(O)c1
O=C(O)C/C=C/CC(=O)CC(=O)[CoA]
CC(=O)C(=O)C(O)CO
C[C@](O)(CO)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2ccc(N)nc2=O)[C@H](O)[C@@H]1O
Cc1ncc(COP(=O)(O)O)c(N)n1
Nc1ccc(C(=O)O)cc1
CC(O)CC(=O)C(=O)O
O=C(O)c1ccc(O)cc1
CC(C)CC(=O)C(=O)O
Cc1ncsc1CCOP(=O)(O)O
C=C(O[C@@H]1C=C(C(=O)O)C=C[C@H]1N)C(=O)O
Nc1ccc(C(=O)NC(CCC(=O)O)C(=O)O)cc1
C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C[C@@H](O)[C@@H](O)[C@@H](O)C=O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1N
NCC(=O)CCC(=O)O
Nc1c(NCC(O)C(O)C(O)COP(=O)(O)O)[nH]c(=O)[nH]c1=O
Nc1c(N[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)[nH]c(=O)[nH]c1=O
O=C(O)C(=O)C[C@H](O)[C@@H](O)C(=O)O
O=C(CO)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
NC(=O)c1ncn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1NC=O
CSC[C@H]1OC(O)[C@H](O)[C@@H]1O
CSC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C=C(O[C@@H]1CC(C(=O)O)=C[C@@H](OP(=O)(O)O)[C@H]1O)C(=O)O
O=P(O)(O)OC[C@H]1O[C@H](OP(=O)(O)OP(=O)(O)O)[C@H](O)[C@@H]1O
N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1cncn1C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=P(O)(O)OC[C@H]1O[C@@H](O[C@@H]2[C@@H](CO)O[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
O=S(=O)(O)C[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
O=P(O)(O)OCC1(O)O[C@H](CS(=O)(=O)O)[C@@H](O)[C@@H]1O
Nc1nc2c(c(=O)[nH]1)N=C(COP(=O)(O)OP(=O)(O)O)CN2
O=C1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H]1O
CC(N)C(N)CCCCCC(=O)O
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)N[C@@H](CCC(=O)O)C(=O)O)cc1)CN2
CC(N)C(=O)CCCCCC(=O)O
Nc1ncnc2nc[nH]c12
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](OP(=O)(O)O)[C@H]1O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OS(=O)(=O)O)[C@@H](O)[C@H]1O
CC(=O)N(O)CCCC[C@H](NC(=O)CC(O)(CC(=O)N[C@@H](CCCCN(O)C(C)=O)C(=O)O)C(=O)O)C(=O)O
NCCCCN=C(N)N
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/COP(=O)(O)OP(=O)(O)O
O=P(O)(O)OC[C@H]1O[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O
O=P(O)(O)O[C@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O
O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H]1O
O=P(O)(O)OC[C@H]1O[C@H](O)[C@H](O)[C@@H]1O
C[N+](C)(C)CC=O
O=C(O)CCCC[C@@H]1SC[C@@H]2NC(=O)N[C@H]12
C/C(C(=O)O)=C(\CC(=O)O)C(=O)O
O=C(O)CCC1=CC=C[C@@H](O)[C@H]1O
O=C(O)/C=C(/CC(=O)O)C(=O)O
O=C(O)CC(O)(CC(=O)O)C(=O)O
C[N+](C)(C)C/C=C/C(=O)O
Nc1nc2c(c(=O)[nH]1)N[C@@H]1[C@H](N2)O[C@@H]2COP(=O)(O)O[C@@H]2C1(O)O
Nc1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)n1
CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)O
C[C@@H](N)C(=O)N[C@H](C)C(=O)O
OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O
O=C[C@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)CO
O=C[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
C[N+](C)(C)C[C@@H](O)CC(=O)O
OCC1(O)OC[C@@H](O)[C@@H](O)[C@@H]1O
O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)CO
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)[C@H]1OC(O)(CO)[C@@H](O)[C@@H]1O
O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)C(=O)O
O=C(O)[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@H]1O
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)O
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
N[C@H]1[C@@H](OP(=O)(O)O)O[C@H](CO)[C@@H](O)[C@@H]1O
N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O
OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
O=P(O)(O)O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O
O=C[C@H](O)[C@@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
N[C@H](CCC(=O)O)C(=O)O
O=P(O)(O)OC[C@@H](O)[C@H]1OC(OP(=O)(O)O)[C@@H](O)[C@@H](O)[C@@H]1O
O=P(O)(O)OC[C@@H](O)[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
O=C(O)[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO
OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
O=P(O)(O)OC1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O
O=P(O)(O)OC[C@H]1OC(O)[C@@H](O)[C@@H](O)[C@@H]1O
OC1OC[C@@H](O)[C@@H](O)[C@H]1O
O=C(CO)[C@H](O)[C@H](O)COP(=O)(O)O
O=P(O)(O)OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@@H](O)[C@H]1O
O=C(O)[C@@H](O)[C@H](O)[C@H](O)C(=O)CO
O=C(O)[C@H](O)[C@@H](O)[C@H](O)CO
OC1OC[C@@H](O)[C@H](O)[C@H]1O
O=C(CO)[C@@H](O)[C@H](O)CO
O=C(CO)[C@@H](O)[C@H](O)COP(=O)(O)O
O=P(O)(O)OC[C@@H](O)[C@@H](O)c1cnc[nH]1
CCCCCCCCCC(=O)[CoA]
Nc1ncnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
Nc1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)n1
Nc1nc2c(ncn2[C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
O=c1[nH]cnc2c1ncn2[C@H]1C[C@H](O)[C@@H](CO)O1
O=c1ccn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]1
CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O)[C@@H](O)C(=O)NCCC(=O)NCCS
C[C@@H]1NC(=O)N[C@@H]1CCCCCC(=O)O
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@H](O)CO)CN2
Nc1nc2c(c(=O)[nH]1)N=C(CNc1ccc(C(=O)O)cc1)CN2
CCCCCCCCCCCC(=O)[CoA]
N[C@@H](CCCCNCC(=O)[C@@H](O)[C@H](O)[C@H](O)CO)C(=O)O
O=P(O)(O)OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)O)C(=O)O
N[C@@H](CCC(=O)NCCCC(=O)O)C(=O)O
N[C@@H](CCC(=O)NCCCC=O)C(=O)O
NCCCCNC(=O)CC[C@H](N)C(=O)O
NCCCCNCCCNC(=O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](N)C(=O)O
O=P(O)(OCC(O)CO)OCC(O)CO
N[C@@H](COP(=O)(O)OCC(O)CO)C(=O)O
C[N+](C)(C)CC(=O)O
Nc1nc2nc[nH]c2c(=O)[nH]1
Nc1nc2c(ncn2[C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
CCCCCCCCCCCCCCCC(=O)O
CCCCCC/C=C\CCCCCCCC(=O)O
CCCCCC(=O)O
O=C(O)CNC(=O)[C@H](CS)NC(=O)CC[C@H](NCO)C(=O)O
O=c1[nH]cnc2nc[nH]c12
c1ccc2[nH]ccc2c1
O=c1[nH]cnc2c1ncn2[C@@H]1O[C@H](CO)[C@@H](O)[C@H]1O
C=C(O[C@H]1C=CC=C(C(=O)O)[C@@H]1O)C(=O)O
O=C(O)CC(C(=O)O)C(O)C(=O)O
OC1OC[C@H](O)[C@H](O)[C@H]1O
C[N+](C)(C)C[C@H](O)CC(=O)O
NC(=O)NCCC[C@H](N)C(=O)O
N[C@@H](CCSC[C@H](N)C(=O)O)C(=O)O
C[C@@H]1OC(O)[C@@H](O)[C@H](O)[C@@H]1O
C[C@H](O)[C@@H](O)[C@@H](O)C(=O)COP(=O)(O)O
O=C(O)[C@@H](O)[C@H](O)[C@H](O)[C@@H](O)CO
N[C@H](C=O)CCC(=O)O
N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
N[C@@H](CCC=O)C(=O)O
N[C@H](CO)Cc1cnc[nH]1
O=C(O)[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)CO
O=C[C@H](O)[C@H](O)[C@@H](O)CO
CS(=O)CC[C@H](N)C(=O)O
O=C(O)CNOC[C@@H]1CCCN1
C[C@@H]1OC(O)[C@H](O)[C@H](O)[C@H]1O
C[C@H](O)[C@H](O)[C@@H](O)C(=O)CO
C[C@H](O)[C@H](O)[C@@H](O)C(=O)COP(=O)(O)O
O=C(CO)[C@@H](O)[C@@H](O)CO
O=C(CO)[C@@H](O)[C@@H](O)COP(=O)(O)O
O=C(CO)[C@H](O)[C@@H](O)CO
O=C(CO)[C@H](O)[C@@H](O)COP(=O)(O)O
C[C@H](N)C(=O)N[C@@H](CCC(=O)O)C(=O)O
O=C1O[C@H]([C@@H](O)COP(=O)(O)O)C(O)=C1O
C[C@H](O)[C@@H](O)[C@@H](O)C(=O)CO
C[S@@](=O)CC[C@H](N)C(=O)O
N[C@@H](CCC[C@H](N)C(=O)O)C(=O)O
O=C(O)CCCCC1CCSS1
N[C@@H](CCC[C@@H](N)C(=O)O)C(=O)O
C[C@](O)(C(=O)O)[C@H](CC(=O)O)C(=O)O
Nc1nc2c(c(=O)[nH]1)N[C@H]1C(S)=C(S)[C@@H](COP(=O)(O)O)O[C@H]1N2
CC(C)(COP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)N[C@@H](CS)C(=O)O
O=C(O)c1ccccc1N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
CC(=O)N[C@@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O
CC(=O)N[C@@H](CCC(=O)O)C(=O)O
CC(=O)N[C@@H](CCC(=O)OP(=O)(O)O)C(=O)O
CC(=O)N[C@@H]1[C@@H](O)CC(O)(C(=O)O)O[C@H]1[C@H](O)[C@H](O)CO
NC(=O)N[C@@H](CC(=O)O)C(=O)O
O=C(O)CCC(=O)N[C@@H](CCCC(=O)C(=O)O)C(=O)O
N[C@@H](CCC[C@H](NC(=O)CCC(=O)O)C(=O)O)C(=O)O
CC(=O)N[C@H]1C(O)O[C@H](COP(=O)(O)O)[C@@H](O)[C@@H]1O[C@H](C)C(=O)O
NCC(=O)N[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
CC(=O)N[C@@H](CCCN)C(=O)O
NC(N)=NCCC[C@H](NC(=O)CCC(=O)O)C(=O)O
O=C(O)CCC(=O)N[C@@H](CCC(=O)O)C(=O)O
O=CCC[C@H](NC(=O)CCC(=O)O)C(=O)O
NCCC[C@H](NC(=O)CCC(=O)O)C(=O)O
NC(=O)c1cccnc1
O=C(O)c1cccnc1
CC(=O)OC[C@H](N)C(=O)O
N[C@@H](CCOC(=O)CCC(=O)O)C(=O)O
O=C(O)CCC(=O)c1ccccc1C(=O)O
O=C([CoA])CCC(=O)c1ccccc1C(=O)O
CCCCCCCCCCCCCCCCCC(=O)O
CCCCCCCC/C=C\CCCCCCCC(=O)O
CCCCCCCC(=O)O
NCCC[C@H](N)C(=O)O
O=C(O)c1cc(=O)[nH]c(=O)n1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Cc1ccc(O)cc1
CC(C)(COP(=O)(O)O)C(O)C(=O)NCCC(=O)NCCS
O=CCc1ccccc1
O=C(O)Cc1ccccc1
O=C([CoA])Cc1ccccc1
O=C(O)CCc1ccccc1
O=C(O)C(=O)Cc1ccccc1
NCc1[nH]cc(CCC(=O)O)c1CC(=O)O
O=C(O)C(=O)CC1(C(=O)O)C=CC(O)C=C1
N[C@@H](CCCCNCC(=O)[C@H](O)[C@H](O)[C@H](O)CO)C(=O)O
Cc1ncc(CO)c(C=O)c1O
Cc1ncc(CO)c(CN)c1O
Cc1ncc(CO)c(CO)c1O
O=C(O)C1(O)C[C@@H](O)C(O)[C@H](O)C1
O=C(O)c1cccnc1C(=O)O
N[C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)O)C(=O)O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O
C[S+](CC[C@H](N)C(=O)O)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C[S+](CCCN)C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
N[C@@H](CCC(=O)N[C@@H](CSC=O)C(=O)NCC(=O)O)C(=O)O
C[S+](C)CC[C@H](N)C(=O)O
N[C@@H](CCSC[C@H]1O[C@@H](O)[C@H](O)[C@@H]1O)C(=O)O
O=C(COP(=O)(O)O)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(CO)[C@@H](O)[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)O
O=C(O)C1=C[C@@H](OP(=O)(O)O)[C@@H](O)[C@H](O)C1
C[N+](C)(C)CCOP(=O)(O)OC[C@H](O)CO
NCCOP(=O)(O)OC[C@H](O)CO
NCCCCNCCCN
C[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)C(=O)S(=O)(=O)O
Cc1ncc(C[n+]2csc(CCOP(=O)(O)O)c2C)c(N)n1
Cc1ncc(C[n+]2csc(CCOP(=O)(O)OP(=O)(O)O)c2C)c(N)n1
CCCCCCC/C=C/C(=O)[CoA]
CCCCCCCCC/C=C/C(=O)[CoA]
CCC/C=C/C(=O)[CoA]
CCCCCCCCCCCCC/C=C/C(=O)[CoA]
CCCCC/C=C/C(=O)[CoA]
CCCCCCCCCCCCCCC/C=C/C(=O)[CoA]
CCCCCCCCCCC/C=C/C(=O)[CoA]
O=c1ccn([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c(=O)[nH]1
O=c1[nH]c(=O)c2[nH]cnc2[nH]1
O=c1[nH]c(=O)c2ncn([C@@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2[nH]1
NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c1
O=C(O)c1cc(=O)[nH]c(=O)[nH]1
CCCCCCCCCCCCCCCCCC(=O)[CoA]
CCCCCCCCCCCCCC(=O)[CoA]
Cc1cn([C@H]2C[C@H](O)[C@@H](CO)O2)c(=O)[nH]c1=O
Cc1c[nH]c(=O)[nH]c1=O
O=c1[nH]c(=O)c2[nH]c(=O)[nH]c2[nH]1
CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCC
CCCCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)(O)O)OC(=O)CCCCCCCCCCCCCCCCC
O=C(O)C1=CC=C[C@H](O)[C@H]1O
O=C(O)[C@@H](O)C(=O)[C@H](O)[C@@H](O)COP(=O)(O)O
C[N+](C)(C)CCO
N[C@@H](CS)C(=O)NCC(=O)O
O=P(O)(O)OC[C@H]1O[C@@](O)(COP(=O)(O)O)[C@@H](O)[C@@H]1O
Cc1ncc(CO)c(N)n1
O=P(O)(O)OC[C@H]1O[C@@H]2OP(=O)(O)O[C@@H]2[C@@H]1O
O=C(O)Nc1cncn1[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1nc2c(c(=O)[nH]1)N=C(CO)CN2
CP(=O)(O)O[C@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
O=P(O)(O)OC[C@H]1OC(O)(CO)[C@H](O)[C@@H]1O
O=P(O)(O)OC[C@@H](O)[C@@H](O)c1c[nH]c2ccccc12
Nc1nc2c(c(=O)[nH]1)N=C([C@H](O)[C@@H](CO)OP(=O)(O)O)CN2
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
Nc1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)n1
